,time,x,y,MV_x,MV_y
24804,847.66,0.18045196533203126,-0.41680450439453126,-2.3276936610588366,-0.8507088817088881
24805,847.69,0.18045196533203126,-0.41680450439453126,-2.32915158603624,-0.8513400779284713
24806,847.72,0.18045196533203126,-0.41680450439453126,-2.3303180373169727,-0.8518450830900112
24807,847.76,0.18045196533203126,-0.41680450439453126,-2.331734284864904,-0.8524582354209634
24808,847.79,0.18045196533203126,-0.41680450439453126,-2.333067316677405,-0.8530353602069956
24809,847.82,0.18045196533203126,-0.41680450439453126,-2.33444200604459,-0.8536305202770383
24810,847.87,0.18045196533203126,-0.41680450439453126,-2.336358183998307,-0.8544601132253594
24811,847.9,0.18045196533203126,-0.41680450439453126,-2.3376911760612327,-0.855037220802151
24812,847.93,0.1877838134765625,-0.40343017578125,-2.1475624581095247,-0.9605749978456182
24813,847.96,0.18045196533203126,-0.41680450439453126,-2.5286051664205234,-0.7529933478031903
24814,847.99,0.18045196533203126,-0.41680450439453126,-2.341647423873472,-0.8567920356103061
24815,848.03,0.18045196533203126,-0.41680450439453126,-2.343022192739807,-0.8573872300988299
24816,848.06,0.18045196533203126,-0.41680450439453126,-2.3443134179367173,-0.8579462550661995
24817,848.09,0.18045196533203126,-0.41680450439453126,-2.3456881868030526,-0.8585414495547232
24818,848.12,0.2,-0.426922607421875,-2.4965024639026883,-1.1479767724188135
24819,848.15,0.16605072021484374,-0.4078277587890625,-2.077394070916718,-0.37840344317109953
24820,848.19,0.18049774169921876,-0.41715087890625,-2.473289053189627,-1.0516446530820747
24821,848.24,0.18045196533203126,-0.41680450439453126,-2.3486963257278566,-0.8607949878524778
24822,848.27,0.1639739990234375,-0.4239471435546875,-2.4783944420705,-0.5721588726488613
24823,848.3,0.17823486328125,-0.40922393798828127,-2.151480090788913,-1.0562499077137997
24824,848.33,0.17823486328125,-0.40922393798828127,-2.3537214126085004,-0.8622547556829163
24825,848.36,0.18045196533203126,-0.41680450439453126,-2.4604275439864294,-0.8945851745767428
24826,848.39,0.18045196533203126,-0.41680450439453126,-2.3583241859532045,-0.8639812773308955
24827,848.43,0.18045196533203126,-0.41680450439453126,-2.359615440962296,-0.8645403152051955
24828,848.46,0.16605072021484374,-0.4078277587890625,-2.232369768799915,-0.6588407430483519
24829,848.49,0.18045196533203126,-0.41680450439453126,-2.4885613979543675,-1.068283352646426
24830,848.52,0.18049774169921876,-0.41715087890625,-2.3685472353734074,-0.8668813000870106
24831,848.55,0.18045196533203126,-0.41680450439453126,-2.3600463743637965,-0.8661587974384252
24832,848.59,0.18045196533203126,-0.41680450439453126,-2.3662529584227725,-0.8673800099971419
24833,848.63,0.14008331298828125,-0.38705596923828123,-2.0816170986859857,-0.47928255832711697
24834,848.67,0.18045196533203126,-0.41680450439453126,-2.8014853046687924,-1.4549477822769163
24835,848.7,0.18049774169921876,-0.41715087890625,-2.3753206968158307,-0.869844490840656
24836,848.73,0.18045196533203126,-0.41680450439453126,-2.3669529816872807,-0.869114506869412
24837,848.76,0.15,-0.426922607421875,-2.527823397787172,-0.4055859568196297
24838,848.79,0.1660064697265625,-0.40269775390625,-2.04071027907038,-1.0855790166431671
24839,848.83,0.18049774169921876,-0.41715087890625,-2.5734186545981714,-1.0691224276335511
24840,848.86,0.1817230224609375,-0.4182769775390625,-2.3941563547133975,-0.8900722193694935
24841,848.89,0.18045196533203126,-0.41680450439453126,-2.3580511354149825,-0.8546540300215681
24842,848.92,0.17913360595703126,-0.4066925048828125,-2.235225139789608,-0.8542235044919487
24843,848.95,0.15941314697265624,-0.393218994140625,-2.1916310813629973,-0.5993042114259161
24844,848.99,0.1758209228515625,-0.41881103515625,-2.7432703690566047,-1.1038866061254162
24845,849.04,0.1639739990234375,-0.4239471435546875,-2.434698616952637,-0.759736446026724
24846,849.07,0.1660064697265625,-0.40269775390625,-2.0836427079063355,-0.9004866452816479
24847,849.1,0.1660064697265625,-0.40269775390625,-2.3837844656960785,-0.8724323044484854
24848,849.13,0.17913360595703126,-0.4066925048828125,-2.4390659117458577,-1.050159808651894
24849,849.16,0.1877838134765625,-0.40343017578125,-2.3407338939837237,-1.0008071739477908
24850,849.2,0.17538604736328126,-0.38535919189453127,-2.112076668286504,-0.6904525117573874
24851,849.23,0.1877838134765625,-0.40343017578125,-2.635703251071909,-1.049397892886067
24852,849.26,0.1660064697265625,-0.40269775390625,-2.3799253470182524,-0.5689100310798212
24853,849.29,0.16892852783203124,-0.41374969482421875,-2.5451568249467407,-0.9164754853396906
24854,849.33,0.1660064697265625,-0.40269775390625,-2.2373761704935533,-0.835290777013614
24855,849.36,0.1697174072265625,-0.403826904296875,-2.410816702504639,-0.9317585793724144
24856,849.39,0.1660064697265625,-0.40269775390625,-2.3789821821834236,-0.8235486661524037
24857,849.43,0.179315185546875,-0.416094970703125,-2.526401379684903,-1.0064772583501702
24858,849.47,0.1660064697265625,-0.40269775390625,-2.2101554180606904,-0.6915719384159735
24859,849.5,0.1639739990234375,-0.4239471435546875,-2.713834926086061,-0.8493254098107353
24860,849.53,0.1722747802734375,-0.41170806884765626,-2.2365532112369957,-0.9947677239729569
24861,849.56,0.1660064697265625,-0.40269775390625,-2.2758440453593565,-0.792244923098498
24862,849.6,0.1639739990234375,-0.4239471435546875,-2.690776458125181,-0.8535778804231741
24863,849.63,0.16447296142578124,-0.425,-2.4262469812677687,-0.8883731642483049
24864,849.66,0.179638671875,-0.41055755615234374,-2.205412550941154,-1.0989198603440562
24865,849.69,0.1660064697265625,-0.40269775390625,-2.293779447329989,-0.684591972602889
24866,849.72,0.1644317626953125,-0.4239349365234375,-2.7134313398171326,-0.8605746116038404
24867,849.76,0.1644317626953125,-0.4239349365234375,-2.4160063551431423,-0.8832742370941569
24868,849.79,0.17823486328125,-0.40922393798828127,-2.199935688537314,-1.0877518747872552
24869,849.84,0.1660064697265625,-0.40269775390625,-2.3539692237066996,-0.7726687333446478
24870,849.87,0.1660064697265625,-0.40269775390625,-2.4151444450485333,-0.8855308380445067
24871,849.9,0.1593780517578125,-0.44156036376953123,-2.9410193524178196,-0.7966349440044589
24872,849.93,0.1660064697265625,-0.40269775390625,-1.8534304193128976,-0.9828615459092689
24873,849.97,0.1660064697265625,-0.40269775390625,-2.41934138900149,-0.8871840074650399
24874,850.0,0.1660064697265625,-0.40269775390625,-2.42050858058428,-0.8876651657339252
24875,850.03,0.179638671875,-0.41055755615234374,-2.53438151382868,-1.0834659299743328
24876,850.06,0.179638671875,-0.41055755615234374,-2.425099626773406,-0.8922222593800696
24877,850.09,0.17823486328125,-0.40922393798828127,-2.4073099582992072,-0.8726886795986759
24878,850.12,0.1660064697265625,-0.40269775390625,-2.3339029742991415,-0.717852423891733
24879,850.15,0.1697174072265625,-0.403826904296875,-2.4436652493479882,-0.9452688125710217
24880,850.2,0.1697174072265625,-0.403826904296875,-2.429202030813828,-0.8921828841610849
24881,850.23,0.179638671875,-0.41055755615234374,-2.5299193733235192,-1.0393261243280096
24882,850.26,0.15,-0.4055084228515625,-2.358814870872383,-0.4577896155657743
24883,850.3,0.16447296142578124,-0.425,-2.704371398101971,-1.0899068163354069
24884,850.33,0.15941314697265624,-0.393218994140625,-2.011013359792101,-0.824716788150894
24885,850.36,0.1697174072265625,-0.403826904296875,-2.589821794731212,-1.0445054006937629
24886,850.39,0.16447296142578124,-0.425,-2.7402843939211055,-0.8202379227295601
24887,850.43,0.1697174072265625,-0.403826904296875,-2.1580528196533852,-0.9653696920339335
24888,850.46,0.179638671875,-0.41055755615234374,-2.5391629381965855,-1.0430523432797747
24889,850.49,0.17913360595703126,-0.4066925048828125,-2.3836533413423,-0.8917847306712627
24890,850.52,0.1660064697265625,-0.40269775390625,-2.387479896889262,-0.7175112435425971
24891,850.56,0.1660064697265625,-0.40269775390625,-2.4433564106307646,-0.8971943630129324
24892,850.6,0.17950897216796874,-0.4095733642578125,-2.5157119838981563,-1.036477995712124
24893,850.63,0.1660064697265625,-0.40269775390625,-2.3527181525812364,-0.7143256610726263
24894,850.67,0.17938995361328125,-0.4154693603515625,-2.630662691716539,-1.090687990771033
24895,850.7,0.179638671875,-0.41055755615234374,-2.3819860406628806,-0.9066069080566067
24896,850.73,0.1697174072265625,-0.403826904296875,-2.3589464962644104,-0.7658147234825963
