,time,x,y
650,2.22,100.0,100.0
651,2.23,100.0,100.0
652,2.23,100.0,100.0
653,2.23,100.0,100.0
654,2.23,100.0,100.0
655,2.23,100.0,100.0
656,2.24,100.0,100.0
657,2.24,100.0,100.0
658,2.24,100.0,100.0
659,2.24,100.0,100.0
660,2.24,100.0,100.0
661,2.25,100.0,100.0
662,2.25,100.0,100.0
663,2.25,100.0,100.0
664,2.25,100.0,100.0
665,2.25,100.0,100.0
666,2.26,100.0,100.0
667,2.26,100.0,100.0
668,2.26,100.0,100.0
669,2.26,100.0,100.0
670,2.26,100.0,100.0
671,2.27,100.0,100.0
672,2.27,100.0,100.0
673,2.27,100.0,100.0
674,2.27,100.0,100.0
675,2.27,100.0,100.0
676,2.28,100.0,100.0
677,2.28,100.0,100.0
678,2.28,100.0,100.0
679,2.28,100.0,100.0
680,2.28,100.0,100.0
681,2.29,100.0,100.0
682,2.29,100.0,100.0
683,2.29,100.0,100.0
684,2.29,100.0,100.0
685,2.29,100.0,100.0
686,2.3,100.0,100.0
687,2.3,100.0,100.0
688,2.3,100.0,100.0
689,2.3,100.0,100.0
690,2.3,100.0,100.0
691,2.31,100.0,100.0
692,2.31,100.0,100.0
693,2.31,100.0,100.0
694,2.31,100.0,100.0
695,2.31,100.0,100.0
696,2.32,100.0,100.0
697,2.32,100.0,100.0
698,2.32,100.0,100.0
699,2.32,100.0,100.0
700,2.32,100.0,100.0
701,2.33,100.0,100.0
702,2.33,100.0,100.0
703,2.33,100.0,100.0
704,2.33,100.0,100.0
705,2.33,100.0,100.0
706,2.34,100.0,100.0
707,2.34,100.0,100.0
708,2.34,100.0,100.0
709,2.34,100.0,100.0
710,2.34,100.0,100.0
711,2.35,100.0,100.0
712,2.35,100.0,100.0
713,2.35,100.0,100.0
714,2.35,100.0,100.0
715,2.35,100.0,100.0
716,2.36,100.0,100.0
717,2.36,100.0,100.0
718,2.36,100.0,100.0
719,2.36,100.0,100.0
720,2.36,100.0,100.0
721,2.37,100.0,100.0
722,2.37,100.0,100.0
723,2.37,100.0,100.0
724,2.37,100.0,100.0
725,2.37,100.0,100.0
726,2.38,100.0,100.0
727,2.38,100.0,100.0
728,2.38,100.0,100.0
729,2.38,100.0,100.0
730,2.38,100.0,100.0
731,2.39,100.0,100.0
732,2.39,100.0,100.0
733,2.41,100.0,100.0
734,2.42,100.0,100.0
735,2.44,100.0,100.0
736,2.45,100.0,100.0
737,2.47,100.0,100.0
738,2.48,100.0,100.0
739,2.5,100.0,100.0
740,2.52,100.0,100.0
741,2.53,100.0,100.0
742,2.55,100.0,100.0
743,2.56,100.0,100.0
744,2.58,100.0,100.0
745,2.59,100.0,100.0
746,2.61,100.0,100.0
747,2.62,100.0,100.0
748,2.64,100.0,100.0
749,2.66,100.0,100.0
750,2.67,100.0,100.0
751,2.69,100.0,100.0
752,2.69,100.0,100.0
753,2.7,100.0,100.0
754,2.72,100.0,100.0
755,2.72,100.0,100.0
756,2.74,100.0,100.0
757,2.75,100.0,100.0
758,2.75,100.0,100.0
759,2.75,100.0,100.0
760,2.77,100.0,100.0
761,2.78,100.0,100.0
762,2.78,100.0,100.0
763,2.78,100.0,100.0
764,2.8,100.0,100.0
765,2.81,100.0,100.0
766,2.81,100.0,100.0
767,2.82,100.0,100.0
768,2.83,100.0,100.0
769,2.84,100.0,100.0
770,2.86,100.0,100.0
771,2.86,100.0,100.0
772,2.86,100.0,100.0
773,2.86,100.0,100.0
774,2.87,100.0,100.0
775,2.87,100.0,100.0
776,2.89,100.0,100.0
777,2.9,100.0,100.0
778,2.92,100.0,100.0
779,2.93,100.0,100.0
780,2.95,100.0,100.0
781,2.97,100.0,100.0
782,2.98,100.0,100.0
783,3.0,100.0,100.0
784,3.01,100.0,100.0
785,3.03,100.0,100.0
786,3.04,100.0,100.0
787,3.06,100.0,100.0
788,3.07,100.0,100.0
789,3.09,100.0,100.0
790,3.11,100.0,100.0
791,3.12,100.0,100.0
792,3.14,100.0,100.0
793,3.15,100.0,100.0
794,3.17,100.0,100.0
795,3.19,100.0,100.0
796,3.2,100.0,100.0
797,3.22,100.0,100.0
798,3.23,100.0,100.0
799,3.25,100.0,100.0
800,3.26,100.0,100.0
801,3.28,100.0,100.0
802,3.3,100.0,100.0
803,3.31,100.0,100.0
804,3.33,100.0,100.0
805,3.33,100.0,100.0
806,3.34,100.0,100.0
807,3.36,100.0,100.0
808,3.36,100.0,100.0
809,3.37,100.0,100.0
810,3.39,100.0,100.0
811,3.39,100.0,100.0
812,3.41,100.0,100.0
813,3.42,100.0,100.0
814,3.42,100.0,100.0
815,3.42,100.0,100.0
816,3.43,100.0,100.0
817,3.44,100.0,100.0
818,3.45,100.0,100.0
819,3.45,100.0,100.0
820,3.46,100.0,100.0
821,3.46,100.0,100.0
822,3.47,100.0,100.0
823,3.48,100.0,100.0
824,3.49,100.0,100.0
825,3.49,100.0,100.0
826,3.49,100.0,100.0
827,3.5,100.0,100.0
828,3.52,100.0,100.0
829,3.52,100.0,100.0
830,3.52,100.0,100.0
831,3.52,100.0,100.0
832,3.53,100.0,100.0
833,3.55,100.0,100.0
834,3.55,100.0,100.0
835,3.55,100.0,100.0
836,3.55,100.0,100.0
837,3.55,100.0,100.0
838,3.56,100.0,100.0
839,3.58,100.0,100.0
840,3.58,100.0,100.0
841,3.58,100.0,100.0
842,3.58,100.0,100.0
843,3.59,100.0,100.0
844,3.59,100.0,100.0
845,3.61,100.0,100.0
846,3.62,100.0,100.0
847,3.64,100.0,100.0
848,3.66,100.0,100.0
849,3.67,100.0,100.0
850,3.69,100.0,100.0
851,3.7,100.0,100.0
852,3.72,100.0,100.0
853,3.73,100.0,100.0
854,3.75,100.0,100.0
855,3.76,100.0,100.0
856,3.78,100.0,100.0
857,3.79,100.0,100.0
858,3.81,100.0,100.0
859,3.83,100.0,100.0
860,3.84,100.0,100.0
861,3.86,100.0,100.0
862,3.87,100.0,100.0
863,3.89,100.0,100.0
864,3.9,100.0,100.0
865,3.92,100.0,100.0
866,3.92,100.0,100.0
867,3.93,100.0,100.0
868,3.95,100.0,100.0
869,3.95,100.0,100.0
870,3.97,100.0,100.0
871,3.98,100.0,100.0
872,3.98,100.0,100.0
873,4.0,100.0,100.0
874,4.01,100.0,100.0
875,4.01,100.0,100.0
876,4.02,100.0,100.0
877,4.03,100.0,100.0
878,4.04,100.0,100.0
879,4.06,100.0,100.0
880,4.06,100.0,100.0
881,4.06,100.0,100.0
882,4.07,100.0,100.0
883,4.07,100.0,100.0
884,4.09,100.0,100.0
885,4.09,100.0,100.0
886,4.09,100.0,100.0
887,4.1,100.0,100.0
888,4.1,100.0,100.0
889,4.11,100.0,100.0
890,4.12,100.0,100.0
891,4.12,100.0,100.0
892,4.13,100.0,100.0
893,4.13,100.0,100.0
894,4.13,100.0,100.0
895,4.14,100.0,100.0
896,4.15,100.0,100.0
897,4.17,100.0,100.0
898,4.18,100.0,100.0
899,4.2,100.0,100.0
900,4.21,100.0,100.0
901,4.23,100.0,100.0
902,4.25,100.0,100.0
903,4.26,100.0,100.0
904,4.28,100.0,100.0
905,4.29,100.0,100.0
906,4.31,100.0,100.0
907,4.32,100.0,100.0
908,4.34,100.0,100.0
909,4.35,100.0,100.0
910,4.37,100.0,100.0
911,4.39,100.0,100.0
912,4.4,100.0,100.0
913,4.42,100.0,100.0
914,4.43,100.0,100.0
915,4.45,100.0,100.0
916,4.46,100.0,100.0
917,4.48,100.0,100.0
918,4.49,100.0,100.0
919,4.5,100.0,100.0
920,4.51,100.0,100.0
921,4.53,100.0,100.0
922,4.53,100.0,100.0
923,4.54,100.0,100.0
924,4.56,100.0,100.0
925,4.56,100.0,100.0
926,4.56,100.0,100.0
927,4.57,100.0,100.0
928,4.59,100.0,100.0
929,4.59,100.0,100.0
930,4.59,100.0,100.0
931,4.59,100.0,100.0
932,4.6,100.0,100.0
933,4.62,100.0,100.0
934,4.63,100.0,100.0
935,4.65,100.0,100.0
936,4.66,100.0,100.0
937,4.68,100.0,100.0
938,4.7,100.0,100.0
939,4.71,100.0,100.0
940,4.73,100.0,100.0
941,4.74,100.0,100.0
942,4.76,100.0,100.0
943,4.77,100.0,100.0
944,4.79,100.0,100.0
945,4.8,100.0,100.0
946,4.81,100.0,100.0
947,4.81,100.0,100.0
948,4.82,100.0,100.0
949,4.83,100.0,100.0
950,4.85,100.0,100.0
951,4.87,100.0,100.0
952,4.88,100.0,100.0
953,4.9,100.0,100.0
954,4.91,100.0,100.0
955,4.93,100.0,100.0
956,4.94,100.0,100.0
957,4.96,100.0,100.0
958,4.96,100.0,100.0
959,4.98,100.0,100.0
960,4.99,100.0,100.0
961,5.01,100.0,100.0
962,5.01,100.0,100.0
963,5.01,100.0,100.0
964,5.01,100.0,100.0
965,5.01,100.0,100.0
966,5.02,100.0,100.0
967,5.02,100.0,100.0
968,5.02,100.0,100.0
969,5.04,100.0,100.0
970,5.05,100.0,100.0
971,5.05,100.0,100.0
972,5.06,100.0,100.0
973,5.07,100.0,100.0
974,5.08,100.0,100.0
975,5.09,100.0,100.0
976,5.09,100.0,100.0
977,5.09,100.0,100.0
978,5.1,100.0,100.0
979,5.11,100.0,100.0
980,5.13,100.0,100.0
981,5.13,100.0,100.0
982,5.13,100.0,100.0
983,5.14,100.0,100.0
984,5.14,100.0,100.0
985,5.14,100.0,100.0
986,5.14,100.0,100.0
987,5.14,100.0,100.0
988,5.15,100.0,100.0
989,5.16,100.0,100.0
990,5.18,100.0,100.0
991,5.19,100.0,100.0
992,5.21,100.0,100.0
993,5.22,100.0,100.0
994,5.22,100.0,100.0
995,5.24,100.0,100.0
996,5.25,100.0,100.0
997,5.27,100.0,100.0
